,RedFighter,BlueFighter,WeightClass,Gender,NumberOfRounds,RedAge,RedHeightCms,RedReachCms,RedWeightLbs,RedStance,RedWins,RedWinsBySubmission,RedCurrentWinStreak,RedLosses,RedCurrentLoseStreak,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedTotalRoundsFought,BlueAge,BlueHeightCms,BlueReachCms,BlueWeightLbs,BlueStance,BlueWins,BlueWinsBySubmission,BlueCurrentWinStreak,BlueLosses,BlueCurrentLoseStreak,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueTotalRoundsFought,Result,RedWinsByDecision,RedWinsByKO/TKO,BlueWinsByDecision,BlueWinsByKO/TKO
148,Angela Hill,Tabatha Ricci,0,0,1,39,160.02,162.56,115,1.0,12,1,2,13,0,5.46,0.49,0.1,0.76,0.32,73,29,154.94,154.94,115,1.0,5,1,1,2,0,4.63,0.38,0.1,2.99,0.38,19,1,9,2,4,0
149,Robert Valentin,Ryan Loder,5,1,1,29,187.96,195.58,185,1.0,0,0,0,0,0,0.15,0.5,4.4,0.0,0.0,0,33,187.96,193.04,185,0.0,0,0,0,0,0,6.16,0.8,2.2,2.2,0.33,0,1,0,0,0,0
150,Kaan Ofli,Mairon Santos,2,1,1,31,170.18,167.64,145,1.0,0,0,0,0,0,1.85,0.42,0.0,0.0,0.0,0,24,170.18,182.88,145,1.0,0,0,0,0,0,4.77,0.46,0.0,0.0,0.0,0,1,0,0,0,0
151,Neil Magny,Michael Morales,4,1,1,37,190.5,203.2,170,1.0,22,2,1,10,0,3.44,0.46,0.2,2.15,0.4,87,25,182.88,200.66,170,1.0,5,0,5,0,0,5.42,0.48,0.0,1.16,0.41,13,1,14,6,3,2
152,Edmen Shahbazyan,Gerald Meerschaert,5,1,1,26,190.5,190.5,185,1.0,7,1,1,4,0,3.77,0.5,0.5,2.01,0.38,21,36,185.42,195.58,185,0.0,11,10,1,9,0,3.13,0.45,1.6,2.14,0.36,41,1,1,5,0,1
153,Dennis Buzukja,Francis Marshall,3,1,1,26,175.26,177.8,145,1.0,2,0,1,3,0,4.21,0.43,0.2,0.63,0.27,13,25,175.26,182.88,145,1.0,2,0,0,2,2,3.69,0.34,0.5,2.68,0.41,9,1,1,1,1,1
154,Zachary Reese,Jose Daniel Medina,5,1,1,30,193.04,195.58,185,1.0,2,1,1,1,0,5.06,0.59,2.5,4.08,0.55,3,33,182.88,187.96,185,1.0,0,0,0,1,1,1.87,0.33,0.0,0.5,0.33,3,0,0,1,0,0
155,Viacheslav Borshchev,James Llontop,3,1,1,32,180.34,175.26,155,1.0,3,0,0,3,1,5.4,0.53,0.0,0.0,0.0,16,25,182.88,185.42,155,1.0,1,0,0,1,1,5.38,0.43,0.0,0.0,0.0,4,0,0,3,1,0
156,Jacqueline Cavalcanti,Josiane Nunes,1,0,1,26,172.72,177.8,135,1.0,1,0,1,0,0,6.02,0.49,0.0,0.0,0.0,3,30,157.48,170.18,135,0.0,3,0,0,1,1,5.41,0.42,0.0,0.0,0.0,10,0,1,0,2,1
157,Wang Cong,Victoria Leonardo,0,0,1,32,167.64,167.64,125,0.0,1,1,1,0,0,7.07,0.59,7.3,3.66,1.0,1,34,165.1,162.56,125,1.0,2,0,0,3,1,3.22,0.38,0.0,1.57,0.27,10,0,0,0,1,1
158,Dricus Du Plessis,Israel Adesanya,5,1,0,30,185.42,193.04,185,1.0,7,1,7,0,0,6.18,0.49,0.9,3.04,0.5,18,35,193.04,203.2,185,1.0,13,0,0,3,1,4.0,0.48,0.1,0.05,0.12,60,0,2,4,8,5
159,Kai Kara-France,Steve Erceg,0,1,1,31,162.56,175.26,125,1.0,7,0,0,4,2,4.56,0.39,0.0,0.61,0.33,30,29,172.72,172.72,125,1.0,3,0,0,1,1,4.37,0.48,0.5,1.16,0.26,13,0,5,2,2,1
160,Mateusz Gamrot,Dan Hooker,3,1,1,33,177.8,177.8,155,0.0,7,1,3,2,0,3.23,0.5,0.1,5.25,0.35,24,34,182.88,190.5,155,1.0,13,2,2,8,0,5.03,0.48,0.3,0.73,0.34,48,1,3,3,4,7
