,RedFighter,BlueFighter,WeightClass,Gender,NumberOfRounds,RedAge,RedHeightCms,RedReachCms,RedWeightLbs,RedStance,RedWins,RedWinsBySubmission,RedCurrentWinStreak,RedLosses,RedCurrentLoseStreak,RedAvgSigStrLanded,RedAvgSigStrPct,RedAvgSubAtt,RedAvgTDLanded,RedAvgTDPct,RedTotalRoundsFought,BlueAge,BlueHeightCms,BlueReachCms,BlueWeightLbs,BlueStance,BlueWins,BlueWinsBySubmission,BlueCurrentWinStreak,BlueLosses,BlueCurrentLoseStreak,BlueAvgSigStrLanded,BlueAvgSigStrPct,BlueAvgSubAtt,BlueAvgTDLanded,BlueAvgTDPct,BlueTotalRoundsFought,Result,RedWinsByDecision,RedWinsByKO/TKO,BlueWinsByDecision,BlueWinsByKO/TKO
357,Trevor Peek,Charlie Campbell,3,1,1,29,175.26,177.8,155,1.0,3,0,1,1,0,4.58,0.54,0.0,1.82,0.53,9,28,182.88,182.88,155,1.0,1,0,1,1,0,5.55,0.54,0.0,2.95,0.4,2,1,1,2,0,1
358,Court McGee,Alex Morono,4,1,1,39,180.34,190.5,170,1.0,10,2,0,11,2,4.6,0.37,0.4,1.84,0.25,56,33,180.34,182.88,170,1.0,12,2,0,6,1,4.96,0.41,0.4,0.36,0.26,47,1,8,0,8,2
359,Valter Walker,Lukasz Brzeski,7,1,1,26,198.12,198.12,265,1.0,0,0,0,0,0,1.86,0.52,0.8,4.52,0.75,0,31,193.04,198.12,236,1.0,1,1,0,3,3,4.9,0.5,0.5,0.46,0.5,10,1,0,0,0,0
360,Norma Dumont,Germaine de Randamie,1,0,1,33,170.18,170.18,135,1.0,6,0,3,2,0,3.11,0.49,0.0,1.91,0.68,24,39,175.26,180.34,135,1.0,9,1,1,3,0,2.57,0.46,0.4,0.0,0.0,31,0,6,0,4,4
361,Pedro Falcao,Victor Hugo,1,1,1,31,167.64,167.64,135,1.0,1,0,1,0,0,2.9,0.48,0.0,2.07,0.22,3,31,170.18,180.34,135,1.0,1,1,1,0,0,3.46,0.51,1.4,0.67,0.5,2,1,0,1,0,0
362,Dan Argueta,Jean Matsumoto,1,1,1,30,170.18,172.72,135,0.0,1,0,1,1,0,2.18,0.45,1.6,4.45,0.48,10,24,167.64,172.72,135,1.0,1,0,1,0,0,4.76,0.38,0.6,1.2,0.5,3,1,1,0,1,0
363,Dylan Budka,Cesar Almeida,5,1,1,24,182.88,190.5,185,1.0,1,0,1,0,0,1.04,0.6,0.7,3.38,0.38,3,36,185.42,187.96,185,1.0,1,0,1,0,0,4.25,0.61,0.0,0.0,0.0,3,1,1,0,1,0
364,Melissa Mullins,Nora Cornolle,1,0,1,32,170.18,172.72,135,1.0,1,0,1,0,0,2.73,0.52,0.0,0.65,0.2,3,34,170.18,170.18,135,1.0,1,0,1,0,0,3.29,0.59,0.0,0.0,0.0,3,1,1,0,1,0
365,Erin Blanchfield,Manon Fiorot,0,0,0,24,162.56,167.64,125,1.0,6,3,6,0,0,5.47,0.45,1.0,2.05,0.33,14,34,170.18,165.1,125,1.0,6,0,6,0,0,6.26,0.41,0.0,1.17,0.42,16,1,3,0,4,2
366,Vicente Luque,Joaquin Buckley,4,1,1,32,180.34,190.5,170,1.0,15,5,1,5,0,5.07,0.52,0.6,1.0,0.53,45,29,177.8,193.04,170,0.0,7,0,2,4,0,4.25,0.36,0.0,1.69,0.44,26,1,2,8,2,5
367,Chris Weidman,Bruno Silva,5,1,1,39,187.96,198.12,185,1.0,11,3,0,7,2,3.18,0.45,0.8,3.44,0.42,43,34,182.88,187.96,185,1.0,4,0,0,4,2,4.12,0.49,0.0,0.93,0.27,16,0,4,4,0,4
368,Nursulton Ruziboev,Sedriques Dumas,5,1,1,30,195.58,193.04,170,1.0,1,0,1,0,0,2.5,0.43,0.0,0.77,1.0,1,28,187.96,200.66,185,1.0,3,1,2,1,0,2.15,0.48,0.3,1.31,0.35,9,0,0,1,2,0
369,Bill Algeo,Kyle Nelson,2,1,1,34,182.88,185.42,145,1.0,5,1,2,4,0,5.88,0.51,0.1,1.03,0.5,25,32,180.34,180.34,145,1.0,3,0,2,4,0,3.65,0.45,0.6,1.1,0.2,21,1,3,1,2,1
370,Chidi Njokuani,Rhys McKee,4,1,1,35,190.5,203.2,170,1.0,3,0,0,3,3,4.09,0.61,0.2,0.0,0.0,11,28,187.96,198.12,170,1.0,0,0,0,3,3,4.8,0.45,0.0,0.0,0.0,7,0,0,3,0,0
371,Nate Landwehr,Jamall Emmers,2,1,1,35,175.26,182.88,145,1.0,4,2,0,3,1,6.25,0.46,1.0,1.0,0.41,16,34,177.8,187.96,145,1.0,3,0,1,4,0,5.3,0.48,0.2,1.83,0.4,16,0,2,0,2,1
372,Virna Jandiroba,Loopy Godinez,0,0,1,35,160.02,162.56,115,1.0,5,2,2,3,0,2.12,0.38,1.7,2.29,0.34,20,30,157.48,154.94,115,1.0,7,2,4,3,0,4.16,0.48,1.0,2.95,0.47,27,0,2,1,5,0
373,Julio Arce,Herbert Burns,2,1,1,34,170.18,177.8,145,0.0,6,1,0,4,1,4.36,0.36,0.3,0.46,0.28,27,36,175.26,185.42,145,1.0,3,2,0,2,2,1.86,0.36,1.8,2.94,0.34,7,0,2,3,0,1
374,Dennis Buzukja,Connor Matthews,2,1,1,26,175.26,177.8,145,1.0,1,0,0,3,2,4.21,0.43,0.2,0.63,0.27,10,31,172.72,180.34,145,1.0,1,0,1,1,0,5.3,0.44,0.7,2.97,0.53,6,0,1,0,1,0
375,Ibo Aslan,Anton Turkalj,6,1,1,27,190.5,195.58,205,1.0,1,0,1,0,0,6.83,0.45,0.0,0.0,0.0,1,27,193.04,198.12,205,1.0,1,0,0,3,3,2.45,0.42,0.0,4.98,0.41,8,0,0,1,1,0
376,Andre Petroski,Jacob Malkoun,5,1,1,32,182.88,185.42,185,1.0,5,2,0,1,1,3.0,0.5,2.0,4.07,0.56,14,28,175.26,185.42,185,1.0,3,0,0,3,1,3.86,0.56,0.4,6.62,0.42,14,1,2,1,3,0
377,Angel Pacheco,Caolan Loughran,1,1,1,32,172.72,177.8,135,1.0,0,0,0,1,1,9.5,0.39,0.0,0.0,0.0,3,27,167.64,172.72,135,1.0,0,0,0,1,1,5.64,0.43,0.0,2.0,0.26,3,1,0,0,0,0
378,Amanda Ribas,Rose Namajunas,0,0,0,30,160.02,167.64,125,1.0,7,2,1,3,0,4.63,0.4,0.7,2.07,0.51,25,31,165.1,165.1,125,1.0,9,3,0,5,2,3.7,0.42,0.4,1.55,0.53,42,1,4,1,4,2
379,Karl Williams,Justin Tafa,7,1,1,34,190.5,200.66,235,1.0,3,0,3,0,0,2.68,0.48,0.2,4.2,0.48,9,30,182.88,187.96,264,0.0,4,0,3,3,0,4.09,0.54,0.0,0.0,0.0,12,0,3,0,0,4
380,Edmen Shahbazyan,AJ Dobson,5,1,1,26,190.5,190.5,185,1.0,6,1,0,4,1,3.77,0.5,0.5,2.01,0.38,20,32,185.42,193.04,185,1.0,2,1,1,2,0,4.29,0.46,0.3,1.67,0.75,10,0,1,4,1,0
381,Payton Talbott,Cameron Saaiman,1,1,1,25,177.8,177.8,135,1.0,2,1,2,0,0,8.38,0.55,0.5,0.0,0.0,6,23,172.72,170.18,135,0.0,4,0,0,1,1,5.32,0.46,0.7,0.91,0.28,13,0,1,0,1,3
382,Billy Quarantillo,Youssef Zalal,2,1,1,35,177.8,177.8,145,1.0,7,1,1,3,0,7.36,0.56,1.1,1.24,0.23,26,27,177.8,182.88,145,1.0,3,0,0,3,3,2.87,0.49,1.4,2.33,0.34,21,1,2,4,3,0
383,Fernando Padilla,Luis Pajuelo,2,1,1,27,185.42,193.04,145,1.0,1,0,0,1,1,6.48,0.42,0.8,0.0,0.0,4,29,177.8,175.26,145,1.0,1,0,1,0,0,6.03,0.57,0.0,0.0,0.0,1,0,0,1,0,1
384,Kurt Holobaugh,Trey Ogden,3,1,1,37,180.34,177.8,155,1.0,1,1,1,5,0,4.63,0.45,0.8,0.76,0.33,16,34,180.34,182.88,155,1.0,1,0,0,2,1,3.07,0.48,0.8,2.04,0.3,12,1,0,0,1,0
385,Ricardo Ramos,Julian Erosa,2,1,1,28,175.26,182.88,145,1.0,7,1,0,4,1,3.03,0.36,0.8,2.77,0.61,23,34,185.42,187.96,145,0.0,7,2,0,7,2,6.18,0.48,0.8,1.69,0.48,30,1,4,2,3,2
386,Miles Johns,Cody Gibson,1,1,1,29,170.18,167.64,135,1.0,5,0,1,2,0,3.28,0.47,0.0,1.02,0.2,23,36,177.8,180.34,135,1.0,1,0,0,4,3,3.96,0.44,0.4,1.61,0.3,12,0,3,2,0,1
387,Jarno Errens,Steven Nguyen,2,1,1,29,180.34,185.42,145,1.0,0,0,0,2,2,3.29,0.44,0.3,0.0,0.0,6,30,180.34,185.42,145,1.0,2,0,2,1,0,7.15,0.4,0.0,0.28,1.0,8,0,0,0,1,1
388,Montserrat Rendon,Daria Zhelezniakova,1,0,1,35,172.72,172.72,135,1.0,1,0,1,0,0,3.13,0.28,0.0,3.0,0.54,3,28,175.26,172.72,135,1.0,0,0,0,0,0,3.8,0.38,0.0,0.0,0.0,0,1,1,0,0,0
389,Igor Severino,Andre Lima,0,1,1,20,170.18,175.26,125,1.0,1,0,1,0,0,7.17,0.52,0.0,9.69,0.71,2,25,170.18,170.18,125,1.0,1,0,1,0,0,3.75,0.56,0.8,0.79,0.5,3,1,0,1,1,0
390,Mohammed Usman,Mick Parkin,7,1,1,34,187.96,200.66,239,1.0,3,0,3,0,0,3.41,0.36,0.0,0.69,0.17,8,28,193.04,200.66,265,1.0,3,1,3,0,0,4.91,0.52,0.3,1.49,0.41,7,1,2,1,2,0
391,Tai Tuivasa,Marcin Tybura,7,1,0,31,187.96,190.5,264,0.0,8,0,0,6,3,3.77,0.46,0.0,0.0,0.0,25,38,190.5,198.12,249,1.0,11,0,0,7,1,3.57,0.48,0.1,1.42,0.33,47,1,1,7,7,4
392,Ovince Saint Preux,Kennedy Nzechukwu,6,1,1,40,190.5,203.2,205,0.0,20,5,0,13,1,3.03,0.47,0.5,1.1,0.36,75,31,195.58,210.82,205,0.0,8,1,0,4,1,5.13,0.45,0.2,0.6,0.45,27,0,6,9,2,5
393,Christian Rodriguez,Isaac Dulgarian,2,1,1,26,170.18,180.34,145,1.0,4,1,3,1,0,3.65,0.47,1.1,1.07,0.54,13,27,170.18,180.34,145,1.0,1,0,1,0,0,2.88,0.58,1.5,6.06,0.47,1,0,3,0,0,1
394,Pannie Kianzad,Macy Chiasson,1,0,1,32,170.18,167.64,135,1.0,5,0,0,4,1,4.88,0.49,0.1,0.41,0.33,26,32,180.34,182.88,135,1.0,6,1,0,3,1,3.77,0.46,0.4,2.37,0.38,22,1,5,0,3,2
395,Gerald Meerschaert,Bryan Barberena,5,1,1,36,185.42,195.58,185,0.0,10,9,0,9,2,3.13,0.45,1.6,2.14,0.36,39,34,182.88,182.88,185,0.0,9,1,0,9,3,5.35,0.48,0.3,0.13,0.22,45,0,0,1,4,4
396,Natan Levy,Mike Davis,3,1,1,32,175.26,180.34,155,0.0,3,1,2,1,0,3.7,0.52,0.5,5.03,0.58,12,31,182.88,182.88,155,1.0,3,0,3,2,0,5.35,0.52,0.4,2.77,0.53,14,1,2,0,2,1
397,Josiane Nunes,Chelsea Chandler,1,0,1,30,157.48,170.18,135,0.0,3,0,3,0,0,5.41,0.42,0.0,0.0,0.0,7,33,172.72,172.72,135,0.0,1,0,0,1,1,3.53,0.45,0.0,0.91,0.6,4,1,2,1,0,1
398,Jafel Filho,Ode Osbourne,0,1,1,30,170.18,172.72,125,1.0,2,1,1,1,0,2.36,0.41,2.6,1.77,0.33,7,32,170.18,185.42,125,0.0,5,1,0,4,1,3.46,0.38,0.2,1.27,0.27,14,0,0,1,2,2
399,Josh Culibao,Danny Silva,2,1,1,29,177.8,185.42,145,1.0,3,1,0,2,1,3.41,0.44,0.3,0.0,0.0,16,27,180.34,177.8,145,1.0,1,0,1,0,0,8.3,0.58,0.5,3.0,0.5,3,1,2,0,1,0
400,Jaqueline Amorim,Cory McKenna,0,0,1,28,160.02,172.72,115,1.0,1,0,1,1,0,3.33,0.52,5.4,1.48,0.23,6,24,160.02,147.32,115,1.0,4,1,2,1,0,3.0,0.4,0.4,2.22,0.58,14,0,0,1,3,0
401,Thiago Moises,Mitch Ramirez,3,1,1,28,175.26,177.8,155,1.0,7,3,0,5,1,2.39,0.4,1.3,1.47,0.35,28,31,180.34,180.34,155,1.0,0,0,0,1,1,2.37,0.42,0.0,0.91,1.0,2,0,3,1,0,0
402,Charalampos Grigoriou,Chad Anheliger,1,1,1,31,170.18,170.18,135,1.0,1,0,1,0,0,2.62,0.48,0.0,2.62,0.8,1,37,167.64,162.56,135,1.0,2,0,0,2,2,3.6,0.45,0.6,0.82,0.3,12,1,0,1,1,1
403,Sean O'Malley,Marlon Vera,1,1,0,29,180.34,182.88,135,1.0,10,0,5,1,0,7.63,0.61,0.3,0.35,0.42,24,31,172.72,177.8,135,1.0,15,4,1,7,0,4.27,0.49,0.8,0.51,0.39,61,0,3,7,4,7
404,Dustin Poirier,Benoit Saint Denis,3,1,1,35,175.26,182.88,155,0.0,22,4,0,8,1,5.3,0.5,1.3,1.24,0.36,73,28,180.34,185.42,155,0.0,5,2,5,1,0,5.7,0.54,1.5,4.76,0.37,11,0,7,11,0,3
405,Kevin Holland,Michael Page,4,1,1,31,190.5,205.74,185,1.0,13,4,0,7,1,4.25,0.49,0.6,0.84,0.38,53,36,190.5,200.66,170,1.0,0,0,0,0,0,2.38,0.65,0.0,0.44,0.25,0,1,4,5,0,0
406,Gilbert Burns,Jack Della Maddalena,4,1,1,37,177.8,180.34,170,1.0,15,5,0,6,1,3.29,0.48,0.5,2.24,0.38,54,27,180.34,185.42,170,1.0,7,1,7,0,0,6.74,0.53,0.2,0.21,0.16,13,1,7,3,3,3
407,Petr Yan,Song Yadong,1,1,1,31,170.18,170.18,135,1.0,8,0,0,4,3,5.14,0.53,0.1,1.73,0.51,42,26,172.72,170.18,135,1.0,10,1,2,2,0,4.49,0.43,0.2,0.66,0.4,36,0,4,4,4,5
408,Curtis Blaydes,Jailton Almeida,7,1,1,33,193.04,203.2,265,1.0,12,0,0,4,1,3.54,0.5,0.0,5.69,0.53,39,32,190.5,200.66,205,1.0,7,4,7,0,0,2.46,0.64,2.6,6.85,0.59,13,0,5,7,1,2
409,Katlyn Cerminara,Maycee Barber,0,0,1,35,175.26,172.72,125,1.0,11,0,0,5,1,4.58,0.34,0.3,0.31,0.15,46,25,165.1,165.1,125,1.0,9,0,5,2,0,4.7,0.53,0.1,1.44,0.43,28,1,11,0,4,5
410,Mateusz Gamrot,Rafael Dos Anjos,3,1,1,33,177.8,177.8,155,0.0,6,1,2,2,0,3.23,0.5,0.1,5.25,0.35,21,39,172.72,177.8,170,0.0,21,5,0,13,1,3.48,0.47,0.6,1.95,0.35,108,0,2,3,12,4
411,Pedro Munhoz,Kyler Phillips,1,1,1,37,167.64,165.1,135,1.0,10,3,0,8,1,5.32,0.43,0.5,0.51,0.18,48,28,172.72,182.88,135,1.0,6,1,2,1,0,5.72,0.45,0.5,2.41,0.46,18,1,4,3,3,2
412,Ion Cutelaba,Philipe Lins,6,1,1,30,185.42,190.5,205,0.0,6,0,1,8,0,4.44,0.43,0.0,4.17,0.57,27,38,187.96,198.12,205,1.0,3,0,3,2,0,3.8,0.49,0.0,1.65,0.33,11,1,2,4,2,1
413,Michel Pereira,Michal Oleksiejczuk,5,1,1,30,185.42,185.42,185,1.0,7,1,6,2,0,5.16,0.54,0.8,1.53,0.55,23,29,182.88,187.96,185,0.0,7,0,1,4,0,5.08,0.5,0.0,1.08,0.43,20,0,4,2,1,6
414,Robelis Despaigne,Josh Parisian,7,1,1,35,200.66,213.36,265,1.0,0,0,0,0,0,2.16,0.54,0.0,0.0,0.0,0,34,193.04,200.66,265,1.0,4,0,0,4,2,4.55,0.48,0.2,0.98,0.33,17,0,0,0,1,3
415,CJ Vergara,Asu Almabayev,0,1,1,32,167.64,172.72,125,1.0,4,0,2,2,0,5.24,0.57,0.2,0.0,0.0,14,30,162.56,165.1,125,1.0,1,1,1,0,0,2.36,0.61,2.4,6.68,0.56,2,1,2,2,0,0
416,Joanne Wood,Maryna Moroz,0,0,1,38,167.64,165.1,125,1.0,8,1,1,8,0,7.1,0.51,0.3,1.52,0.55,36,32,170.18,170.18,125,1.0,6,2,0,5,2,4.42,0.33,0.6,0.7,0.24,28,0,6,1,4,0
417,Jairzinho Rozenstruik,Shamil Gaziev,7,1,0,35,187.96,198.12,242,1.0,7,0,0,5,1,3.75,0.49,0.0,0.0,0.0,24,34,193.04,198.12,265,1.0,2,1,2,0,0,2.43,0.49,0.3,1.03,0.3,3,0,0,7,0,1
418,Vitor Petrino,Tyson Pedro,6,1,1,26,187.96,195.58,205,1.0,4,1,4,0,0,2.82,0.45,0.8,3.98,0.66,10,32,190.5,200.66,205,1.0,6,2,1,4,0,2.9,0.59,0.8,0.76,0.3,16,0,1,2,0,4
419,Alex Perez,Muhammad Mokaev,0,1,1,31,167.64,165.1,125,1.0,7,3,0,3,2,4.19,0.46,0.8,2.04,0.46,15,23,170.18,177.8,125,1.0,5,4,5,0,0,1.61,0.45,0.8,5.29,0.41,13,1,2,2,1,0
420,Umar Nurmagomedov,Bekzat Almakhan,1,1,1,28,172.72,175.26,135,1.0,4,2,4,0,0,4.46,0.63,0.4,3.98,0.5,7,26,170.18,172.72,135,1.0,0,0,0,0,0,0.2,0.18,0.0,0.0,0.0,0,0,1,1,0,0
421,Matt Schnell,Steve Erceg,0,1,1,34,172.72,177.8,125,1.0,6,3,0,5,1,4.23,0.38,1.0,0.59,0.44,22,28,172.72,172.72,125,1.0,2,0,2,0,0,4.37,0.48,0.5,1.16,0.26,6,1,3,0,2,0
422,Eryk Anders,Jamie Pickett,5,1,1,36,185.42,190.5,185,0.0,7,0,0,8,1,3.41,0.47,0.1,1.79,0.26,41,35,187.96,203.2,185,1.0,3,0,0,8,4,2.65,0.47,0.1,1.26,0.4,23,0,3,4,2,1
423,Vinicius Oliveira,Benardo Sopaj,1,1,1,28,175.26,177.8,135,1.0,1,0,1,0,0,5.87,0.43,0.0,1.38,0.6,1,23,167.64,167.64,135,1.0,0,0,0,0,0,3.06,0.52,0.0,3.06,0.75,0,0,0,1,0,0
424,Aiemann Zahabi,Javid Basharat,1,1,1,36,172.72,172.72,135,1.0,4,0,3,2,0,3.43,0.43,0.0,0.2,0.16,14,28,175.26,175.26,135,1.0,4,1,4,0,0,5.42,0.53,0.2,1.7,0.4,14,0,2,2,3,0
425,Christian Leroy Duncan,Claudio Ribeiro,5,1,1,28,187.96,200.66,185,1.0,2,0,1,1,0,4.71,0.62,0.0,0.31,0.14,6,31,185.42,195.58,185,1.0,2,0,0,2,1,3.59,0.51,0.0,0.56,0.5,7,0,0,2,0,2
426,Ludovit Klein,AJ Cunningham,3,1,1,29,170.18,182.88,155,0.0,4,0,3,2,0,3.93,0.55,0.0,1.66,0.5,19,29,177.8,180.34,145,1.0,0,0,0,1,1,7.66,0.29,0.0,0.0,0.0,2,0,3,1,0,0
427,Abdul-Kareem Al-Selwady,Loik Radzhabov,3,1,1,28,172.72,175.26,155,1.0,1,0,1,0,0,4.14,0.34,0.0,2.32,0.3,3,33,180.34,175.26,155,1.0,1,0,0,1,1,2.89,0.44,0.0,4.65,0.57,5,1,1,0,1,0
428,Brandon Moreno,Brandon Royval,0,1,0,30,170.18,177.8,125,1.0,9,3,0,4,1,3.87,0.44,0.5,1.74,0.46,48,31,175.26,172.72,125,0.0,5,3,0,3,1,4.33,0.36,1.1,0.47,0.6,17,1,3,3,1,1
429,Yair Rodriguez,Brian Ortega,2,1,1,31,180.34,180.34,145,1.0,10,1,0,3,1,4.65,0.46,0.7,0.69,0.27,40,33,172.72,175.26,145,1.0,7,3,0,3,2,4.07,0.38,1.2,1.17,0.27,31,1,5,4,1,3
430,Daniel Zellhuber,Francisco Prado,3,1,1,24,185.42,195.58,155,1.0,3,1,2,1,0,5.86,0.41,0.2,0.22,0.33,11,21,177.8,175.26,155,1.0,1,0,1,1,0,4.58,0.41,0.4,0.0,0.0,4,0,2,0,0,1
431,Yazmin Jauregui,Sam Hughes,0,0,1,24,160.02,162.56,115,1.0,2,0,0,1,1,6.26,0.38,0.0,0.0,0.0,6,31,165.1,162.56,115,1.0,3,0,1,4,0,4.33,0.46,0.0,0.85,0.3,19,0,1,1,2,1
432,Manuel Torres,Chris Duncan,3,1,1,28,177.8,185.42,155,1.0,3,0,3,0,0,8.14,0.58,1.6,3.26,0.66,3,30,177.8,180.34,155,1.0,3,0,3,1,0,4.88,0.46,0.0,3.85,0.38,9,0,0,3,2,1
433,Cristian Quinonez,Raoni Barcelos,1,1,1,27,172.72,177.8,135,1.0,2,0,0,1,1,4.19,0.4,0.0,1.37,0.37,5,36,170.18,170.18,135,1.0,6,1,0,4,2,5.22,0.51,0.6,1.86,0.32,26,1,1,1,3,2
434,Jesus Aguilar,Mateus Mendonca,0,1,1,27,162.56,157.48,125,1.0,2,1,1,1,0,1.46,0.51,1.8,1.75,0.33,5,25,167.64,180.34,125,1.0,1,0,0,2,2,1.66,0.4,0.4,2.54,0.27,5,0,0,1,0,1
435,Edgar Chairez,Daniel Lacerda,0,1,1,28,170.18,180.34,125,1.0,0,0,0,2,2,2.69,0.48,1.7,0.0,0.0,7,27,167.64,177.8,125,1.0,0,0,0,4,4,3.95,0.45,1.2,2.32,0.5,7,0,0,0,0,0
436,Claudio Puelles,Fares Ziam,3,1,1,27,177.8,182.88,155,0.0,5,3,0,2,1,1.56,0.49,1.2,3.17,0.36,17,26,185.42,190.5,155,1.0,4,0,2,2,0,2.7,0.48,0.2,0.81,0.23,16,1,2,0,4,0
437,Ronaldo Rodriguez,Denys Bondar,0,1,1,24,167.64,165.1,125,1.0,0,0,0,1,1,2.0,0.41,1.8,1.2,0.5,3,31,167.64,175.26,125,1.0,0,0,0,2,2,4.59,0.5,0.0,3.99,0.58,4,0,0,0,0,0
438,Victor Altamirano,Felipe dos Santos,0,1,1,33,172.72,177.8,125,1.0,3,0,0,2,1,4.55,0.57,0.0,3.43,0.39,13,23,170.18,177.8,125,1.0,0,0,0,1,1,4.53,0.34,0.5,0.0,0.0,3,1,2,1,0,0
439,Erik Silva,Muhammad Naimov,2,1,1,36,175.26,180.34,145,1.0,1,0,0,1,1,2.07,0.7,0.0,3.76,0.8,4,29,175.26,177.8,145,1.0,2,0,2,1,0,3.18,0.43,0.0,1.8,0.3,8,1,0,1,1,1
440,Alexander Volkanovski,Ilia Topuria,2,1,0,35,167.64,180.34,145,1.0,13,0,0,2,1,6.16,0.56,0.2,1.78,0.37,51,27,170.18,175.26,145,1.0,6,1,6,0,0,4.4,0.46,1.3,1.92,0.56,14,1,8,5,2,3
441,Robert Whittaker,Paulo Costa,5,1,1,33,182.88,185.42,185,1.0,15,0,0,5,1,4.58,0.43,0.0,0.8,0.38,60,32,185.42,182.88,185,1.0,6,0,1,2,0,6.22,0.58,0.0,0.36,0.75,20,0,10,5,2,4
442,Geoff Neal,Ian Machado Garry,4,1,1,33,180.34,190.5,170,0.0,8,1,0,3,1,4.97,0.5,0.1,0.46,0.44,27,26,190.5,187.96,170,1.0,6,0,6,0,0,5.5,0.55,0.3,0.77,0.55,14,1,2,5,3,3
443,Merab Dvalishvili,Henry Cejudo,1,1,1,33,167.64,172.72,135,1.0,9,0,9,2,0,4.5,0.41,0.3,6.43,0.36,34,37,162.56,162.56,135,1.0,10,0,0,3,1,3.77,0.46,0.2,1.99,0.32,37,0,8,1,6,4
444,Anthony Hernandez,Roman Kopylov,5,1,1,30,182.88,190.5,185,1.0,5,3,4,2,0,4.3,0.59,3.0,6.62,0.49,17,32,182.88,190.5,185,0.0,4,0,4,2,0,4.33,0.54,0.0,1.2,0.53,15,0,1,1,0,4
445,Amanda Lemos,Mackenzie Dern,0,0,1,36,162.56,165.1,115,0.0,7,2,0,3,1,3.16,0.54,0.8,0.9,0.63,22,30,162.56,160.02,115,1.0,8,4,0,4,1,3.43,0.39,1.2,0.88,0.16,33,0,2,3,4,0
446,Marcos Rogerio de Lima,Junior Tafa,7,1,1,38,185.42,190.5,253,1.0,10,2,0,8,1,3.7,0.57,0.5,1.4,0.45,30,27,190.5,190.5,240,1.0,1,0,1,1,0,1.67,0.42,0.0,0.0,0.0,4,0,3,5,0,1
447,Rinya Nakamura,Carlos Vera,1,1,1,28,170.18,172.72,135,0.0,4,1,4,0,0,3.53,0.54,1.6,3.72,0.9,6,36,167.64,175.26,135,1.0,0,0,0,0,0,0.8,0.48,0.0,0.0,0.0,0,0,1,2,0,0
448,Zhang Mingyang,Brendson Ribeiro,6,1,1,25,187.96,190.5,205,1.0,1,0,1,0,0,9.23,0.57,0.0,0.0,0.0,1,27,190.5,205.74,205,1.0,1,0,1,0,0,3.08,0.46,0.7,2.2,0.5,1,0,0,1,0,1
449,Josh Quinlan,Danny Barlow,4,1,1,31,182.88,182.88,170,1.0,1,0,0,1,1,3.57,0.42,0.0,0.34,0.11,5,28,187.96,200.66,170,0.0,1,0,1,0,0,5.72,0.5,0.0,0.0,0.0,1,1,0,1,0,1
450,Oban Elliott,Val Woodburn,4,1,1,26,182.88,182.88,170,1.0,1,0,1,0,0,3.82,0.47,0.0,2.67,0.5,3,30,172.72,187.96,170,1.0,0,0,0,1,1,1.6,0.35,0.0,1.92,1.0,1,0,1,0,0,0
451,Andrea Lee,Miranda Maverick,0,0,1,35,167.64,175.26,125,1.0,5,1,0,6,3,4.71,0.46,0.6,1.7,0.55,31,26,160.02,165.1,125,0.0,5,2,1,3,0,3.59,0.45,0.3,2.43,0.45,21,1,3,1,2,1
452,Jack Hermansson,Joe Pyfer,5,1,0,35,185.42,195.58,185,1.0,10,3,0,6,1,5.09,0.44,0.4,1.53,0.3,39,27,187.96,190.5,185,1.0,4,1,4,1,0,3.72,0.41,0.9,1.45,0.41,7,0,4,3,0,3
453,Dan Ige,Andre Fili,2,1,1,32,170.18,180.34,145,1.0,10,2,0,6,1,3.7,0.45,0.3,0.99,0.26,45,33,180.34,187.96,145,1.0,11,0,1,9,0,3.88,0.37,0.2,2.15,0.43,50,0,5,3,7,4
454,Robert Bryczek,Ihor Potieria,5,1,1,33,182.88,190.5,185,1.0,0,0,0,0,0,2.13,0.24,0.0,0.0,0.0,0,27,190.5,190.5,185,0.0,2,0,0,3,2,5.13,0.5,0.0,0.0,0.0,7,1,0,0,0,2
455,Brad Tavares,Gregory Rodrigues,5,1,1,36,185.42,187.96,185,1.0,15,0,1,8,0,3.38,0.43,0.0,0.78,0.26,62,31,190.5,190.5,185,1.0,5,0,1,3,0,5.52,0.56,0.4,2.74,0.41,14,1,13,2,1,4
456,Michael Johnson,Darrius Flowers,3,1,1,37,177.8,185.42,155,0.0,13,0,0,15,1,4.27,0.39,0.0,0.62,0.41,71,29,175.26,180.34,155,1.0,1,1,0,1,1,3.07,0.49,0.0,0.98,0.28,3,0,8,5,0,0
457,Rodolfo Vieira,Armen Petrosyan,5,1,1,34,182.88,185.42,185,1.0,4,4,1,2,0,3.19,0.54,1.6,4.18,0.3,13,33,190.5,180.34,185,1.0,4,0,2,1,0,5.69,0.52,0.0,0.22,0.33,13,0,0,0,3,1
458,Trevin Giles,Carlos Prates,4,1,1,31,182.88,187.96,170,1.0,7,0,0,5,1,3.27,0.55,0.3,1.19,0.5,30,30,185.42,198.12,170,1.0,1,0,1,0,0,4.09,0.52,0.0,0.0,0.0,2,1,4,3,0,1
