,WeightClass,RedStance,BlueStance,Age_diff,Height_diff,Reach_diff,Weight_diff,Red_wins_loss_diff,Blue_wins_loss_diff,Red_Blue_Wins_diff,Red_Blue_Loss_diff,Red_Blue_wins_loss_diff,Red_Blue_curr_streak_diff,Red_Blue_SignStrikAvg_diff,Red_Blue_SuccTDAvg_diff,Red_Blue_AvgSubAtt_diff
857,1,1.0,1.0,-10,2.539999999999992,2.539999999999992,0,0,0,-2,-2,0,3.0,-0.5867999999999998,1.9480000000000002,1.1
858,2,1.0,0.0,2,7.6200000000000045,-2.5400000000000205,0,12,10,9,7,2,-11.0,2.0271,-0.3046,0.0
859,2,1.0,1.0,3,2.539999999999992,12.699999999999989,0,5,4,10,9,1,-3.0,-2.3132000000000006,-0.060200000000000004,-1.0
860,6,1.0,0.0,1,12.699999999999989,12.699999999999989,0,4,3,4,3,1,-4.0,-0.05820000000000025,-0.0030000000000000027,0.0
861,6,1.0,0.0,2,2.5400000000000205,0.0,0,0,-3,-1,-4,3,2.0,0.5348000000000002,-2.3768999999999996,0.0
862,1,1.0,1.0,5,-7.6200000000000045,-5.0800000000000125,0,2,6,2,6,-4,-9.0,-0.4971999999999994,0.013799999999999993,0.4
863,3,1.0,1.0,13,0.0,0.0,0,3,0,17,14,3,0.0,-0.8886,-0.4616,0.3
864,2,1.0,1.0,1,7.6200000000000045,2.539999999999992,0,-1,1,-1,1,-2,-2.0,1.516,-1.4287,-1.2
865,0,0.0,1.0,0,7.6200000000000045,5.0800000000000125,0,2,6,-3,1,-4,-2.0,-0.3236000000000001,-0.339,0.30000000000000004
866,6,0.0,1.0,-4,-2.539999999999992,-5.0800000000000125,0,4,1,-4,-7,3,2.0,-0.5528,-0.7475999999999999,-0.4
867,0,1.0,1.0,-3,5.079999999999984,0.0,0,3,3,5,5,0,-2.0,-0.3523999999999998,-0.23350000000000004,1.1
868,3,1.0,1.0,8,-10.159999999999997,-15.240000000000009,0,-2,0,3,5,-2,0.0,-0.36860000000000026,0.33070000000000005,0.09999999999999998
869,0,1.0,1.0,6,10.159999999999997,5.079999999999984,0,1,0,0,-1,1,2.0,-0.4018000000000004,1.1256,-0.9
870,1,0.0,1.0,3,5.079999999999984,5.0800000000000125,0,-3,0,0,3,-3,-3.0,-0.8680999999999999,0.43,0.6
871,1,1.0,1.0,-1,0.0,7.6200000000000045,10,1,-2,0,-3,3,1.0,0.8864999999999996,0.07339999999999999,-0.19999999999999996
872,5,1.0,1.0,2,0.0,-2.539999999999992,20,4,10,-8,-2,-6,5.0,1.3749000000000002,0.164,0.19999999999999998
873,4,1.0,1.0,-2,-2.539999999999992,-7.6200000000000045,0,9,7,-3,-5,2,4.0,-0.3242999999999998,0.037000000000000144,0.2
874,1,1.0,1.0,6,2.539999999999992,2.539999999999992,0,4,6,3,5,-2,-8.0,-0.18059999999999965,0.3115,0.3
875,4,1.0,1.0,-6,7.6200000000000045,20.32000000000002,15,5,6,0,1,-1,-3.0,0.1391,0.1304,0.6
876,1,1.0,1.0,-7,5.079999999999984,-10.159999999999997,-10,2,1,0,-1,1,1.0,-1.2338999999999998,1.0903999999999998,0.7
